file_path,tempo,danceability,energy,acousticness,key,mode,key_confidence,valence,loudness,instrumentalness,speechiness,liveness
downloads/Simon & Garfunkel - Bridge over Troubled Water.mp3,83.35433467741936,1.0,0.3170331805944443,0.7829968333244324,3,1,0.8546052083864986,0.4710023945072738,-18.706048679562716,0.0,0.1665650474388406,0.4278457045555114
downloads/U2 - I Still Haven't Found What I'm Looking For.mp3,99.38401442307692,1.0,0.6524049878120423,0.6032640337944031,1,1,0.7838539891496349,0.6484158310743521,-2.7842533307482915,0.0,0.3875977827345019,0.93149951171875
downloads/Muse - Feeling Good.mp3,112.34714673913044,1.0,0.8226779460906981,0.6038647294044495,7,0,0.9426977477284036,0.5839332103141045,0.0,0.0,0.4478819980087475,0.90824365234375
downloads/Coldplay - Clocks.mp3,129.19921875,1.0,0.8130479156970978,0.6434801816940308,10,0,0.7580832825809922,0.5920679872083505,0.0,0.0,0.376663532252428,0.8946777343750001
downloads/The Smiths - Heaven Knows I'm Miserable Now.mp3,117.45383522727272,1.0,0.776062297821045,0.599570095539093,6,1,0.694582648395869,0.7068949874394218,0.0,0.0,0.4273460300745191,0.88886376953125
downloads/M83 - Wait.mp3,151.99908088235293,1.0,0.3564681023359298,0.7794629335403442,7,1,0.8575098900073052,0.6218066225359516,-12.245595198408846,0.1219958782196044,0.3099564657194973,0.5107975038528443
downloads/Alanis Morissette - You Oughta Know.mp3,107.666015625,1.0,0.5348991185426712,0.3904350101947784,6,1,0.7527368984635565,0.6964231830835343,-3.997025084362688,0.0,0.7180594116057373,1.0
downloads/Radiohead - Optimistic.mp3,107.666015625,1.0,0.7906431347131729,0.7270313501358032,2,0,0.598201850004015,0.5221907437033421,0.0,0.0,0.2336877459140372,0.6544151844024659
downloads/Radiohead - Fitter Happier.mp3,117.45383522727272,1.0,0.6392762392759322,0.6419407725334167,8,0,0.235099463637246,0.5253544411946173,-1.3101153254064126,0.0,0.3564963779594888,0.91082763671875
downloads/Journey - Don't Stop Believin'.mp3,117.45383522727272,1.0,0.5613060295581818,0.681265115737915,11,1,0.9015459092476276,0.6342399827626195,-0.1306032905891893,0.0,0.4175913216247592,0.918514990234375
downloads/Aerosmith - Crazy.mp3,161.4990234375,1.0,0.8102535173296929,0.5141594409942627,9,1,0.8807169399774839,0.81486309422946,0.0,0.0,0.5541328399036207,0.91341162109375
downloads/Modest Mouse - The World At Large.mp3,151.99908088235293,1.0,0.5109534114599228,0.6383111476898193,10,0,0.8110341565380494,0.5776483399307774,-2.567498937449452,0.0,0.55597427479256,0.8539153808593751
downloads/Motörhead - Ace of Spades.mp3,143.5546875,1.0,0.8104383043944836,0.4625058472156524,3,0,0.7699200591946973,0.6734544608642642,0.0,0.0,0.5850345475678967,0.91599560546875
downloads/The Doors - Riders on the Storm.mp3,103.359375,1.0,0.5477757215499878,0.446567952632904,11,0,0.7681873267802043,0.5718207693099976,0.0,0.0,0.6278166402166612,1.0
downloads/Coldplay - In My Place.mp3,143.5546875,1.0,0.8195360362529756,0.5767809748649597,9,1,0.8583533445738635,0.7744534805973621,0.0,0.0,0.4175999946696283,0.91599560546875
downloads/Soundgarden - Spoonman.mp3,123.046875,1.0,0.6824616320431233,0.6171389818191528,7,0,0.6360094079443889,0.5747403318647041,0.0,0.0,0.389451768449181,0.8836958007812501
downloads/Radiohead - Lotus Flower.mp3,129.19921875,1.0,0.8134969159960748,0.7060759663581848,2,0,0.7299191868600339,0.578064283976773,0.0,0.2418143033981323,0.313490630495161,0.930853515625
downloads/Radiohead - Morning Bell.mp3,143.5546875,1.0,0.8247650086879731,0.644024670124054,2,1,0.6735113682473902,0.7270211336558413,-0.2901685316207816,0.0,0.3601788011242824,0.937894873046875
downloads/Keane - Everybody's Changing.mp3,95.703125,1.0,0.808850035071373,0.5138635039329529,0,1,0.7478994722523833,0.7149520539253376,0.0,0.0,0.5482609474980362,1.0
downloads/Nirvana - Rape Me.mp3,112.34714673913044,1.0,0.697693121433258,0.5696475505828857,3,0,0.8441086133989696,0.5652568319401527,0.0,0.0,0.3917141516198607,0.93020751953125
downloads/Foo Fighters - Monkey Wrench.mp3,86.1328125,1.0,0.8095998451113702,0.4580165445804596,11,1,0.7768996944214834,0.7061848761787201,0.0,0.0,0.6939527171970381,0.95475537109375
downloads/System Of A Down - Forest.mp3,143.5546875,1.0,0.8187947377562523,0.5081726312637329,0,1,0.3465583224648037,0.7813392371833141,0.0,0.0,0.5415274376594248,0.94700341796875
downloads/Pantera - Walk.mp3,57.421875,1.0,0.6605797380208969,0.4186099469661712,2,1,0.4359620974197881,0.6421159476041794,0.0,0.0,0.7242757392989936,1.0
downloads/Limp Bizkit - My Way.mp3,95.703125,1.0,0.6391350209712983,0.6232262253761292,1,0,0.912068359136508,0.500902510295332,0.0,0.0,0.4279711550351279,0.848101416015625
downloads/Barenaked Ladies - One Week.mp3,112.34714673913044,1.0,0.8108118757605554,0.4934386312961578,9,1,0.8908623084794381,0.7363510737697597,0.0,0.0,0.5979668516197882,0.96250732421875
downloads/Radiohead - Packt Like Sardines In a Crushd Tin Box.mp3,83.35433467741936,1.0,0.6825240671634674,0.6835188865661621,6,1,0.6194994726417536,0.5792410528078333,-9.23565915541481,0.067367672920227,0.3970348384186988,0.7
